구분,강간검거,강간발생,강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,구
강남,352,406,8,9,8,5,836,2020,1890,2188,강남구
강동,143,170,7,7,3,3,765,1515,1871,2224,강동구
강북,135,188,7,7,6,8,603,1112,1992,2122,강북구
강서,246,269,3,6,9,11,982,1724,2229,2619,강서구
관악,305,352,12,10,9,9,1025,2012,2302,2643,관악구
광진,184,229,1,2,5,7,974,1769,1625,1908,광진구
구로,181,250,9,9,8,8,787,1717,2353,2826,구로구
금천,185,200,6,7,6,6,645,1168,1725,1912,금천구
남대문,52,75,4,6,1,1,417,798,709,779,중구
노원,173,194,5,5,4,5,585,1422,1958,2381,노원구
도봉,117,113,3,5,1,1,431,781,1124,1349,도봉구
동대문,112,145,4,5,2,2,930,1447,1920,2081,동대문구
동작,154,288,7,7,3,3,532,1151,1394,1651,동작구
마포,396,473,7,6,6,6,882,2011,2278,2676,마포구
방배,41,63,1,1,0,0,165,369,423,487,서초구
서대문,189,206,3,3,4,5,585,1062,1235,1526,서대문구
서부,52,58,0,0,4,4,325,505,711,807,은평구
서초,274,407,4,4,5,5,673,1482,1597,1908,서초구
성동,102,126,8,5,2,2,487,999,1188,1325,성동구
성북,90,125,0,0,1,1,298,600,798,886,성북구
송파,254,309,8,6,6,5,1034,2352,2749,3135,송파구
수서,171,194,2,5,5,5,481,984,1443,1697,강남구
양천,111,120,14,4,3,2,646,1384,1685,2005,양천구
영등포,267,391,6,8,15,17,1064,2292,2570,3132,영등포구
용산,285,331,2,3,1,1,522,1096,1733,1980,용산구
은평,117,130,1,1,4,4,491,773,1158,1308,은평구
종로,114,136,0,1,4,5,398,744,993,1131,종로구
종암,50,58,2,1,5,6,337,564,696,801,성북구
중랑,145,174,3,3,5,4,876,1526,2193,2581,중랑구
중부,63,132,7,5,1,1,415,1057,1010,1176,중구
혜화,58,100,2,2,1,1,340,739,712,831,종로구
